SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8211 Sierra Dr,Edmonds,WA,98026,567000,4,1.75,Edmonds,1920,9148,1959,3,295,,Active,,,http://www.redfin.com/WA/Edmonds/8211-Sierra-Dr-98026/home/2745883,NWMLS,1284232,N,Y,47.8243648,-122.3442658
MLS Listing,,Single Family Residential,10415 171st Ave NE,Redmond,WA,98052,1199000,4,3.25,Education Hill,2840,9375,1968,4,422,,Active,,,http://www.redfin.com/WA/Redmond/10415-171st-Ave-NE-98052/home/325624,NWMLS,1284279,N,Y,47.6935848,-122.111838
MLS Listing,,Condo/Co-op,22999 Marine View Dr S Unit D301,Seattle,WA,98198,349950,2,1.0,Des Moines,802,194079,1969,4,436,436,Active,,,http://www.redfin.com/WA/Des-Moines/22999-Marine-View-Dr-S-98198/unit-D301/home/24080,NWMLS,1282898,N,Y,47.3961657,-122.3240774
MLS Listing,,Condo/Co-op,424 N 85th St #216,Seattle,WA,98103,345000,1,1.0,Greenwood,627,,2006,4,550,347,Active,,,http://www.redfin.com/WA/Seattle/424-N-85th-St-98103/unit-216/home/22695142,NWMLS,1283836,N,Y,47.6910866,-122.3529004
MLS Listing,,Condo/Co-op,626 4th Ave W #104,Seattle,WA,98119,395000,1,1.0,Queen Anne,553,9605,1996,4,714,396,Active,,,http://www.redfin.com/WA/Seattle/626-4th-Ave-W-98119/unit-104/home/12091096,NWMLS,1284222,N,Y,47.6254301,-122.3615879
MLS Listing,,Single Family Residential,10719 SE 278th St,Kent,WA,98030,674950,5,2.5,Kent,2574,14446,2014,4,262,53,Active,,,http://www.redfin.com/WA/Kent/10719-SE-278th-St-98030/home/50269406,NWMLS,1285485,N,Y,47.3523975,-122.1979393
MLS Listing,,Single Family Residential,3401 Belvidere Ave SW,Seattle,WA,98126,849000,3,2.0,Belvidere,2710,4976,1930,4,313,,Active,,,http://www.redfin.com/WA/Seattle/3401-Belvidere-Ave-SW-98126/home/327918,NWMLS,1283723,N,Y,47.5729975,-122.3795172
MLS Listing,,Single Family Residential,1641 76th Ave SE,Lake Stevens,WA,98258,495000,5,2.75,Lake Stevens,2670,6098,2015,4,185,37,Active,,,http://www.redfin.com/WA/Lake-Stevens/1641-76th-Ave-SE-98258/home/113070871,NWMLS,1284943,N,Y,47.979965,-122.128174
MLS Listing,,Condo/Co-op,300 2nd Ave N Unit 2G,Edmonds,WA,98020,489999,2,1.0,Downtown Edmonds,946,,1965,4,518,350,Active,,,http://www.redfin.com/WA/Edmonds/300-2nd-Ave-N-98020/unit-2G/home/2667028,NWMLS,1283147,N,Y,47.8141304,-122.3783612
MLS Listing,,Condo/Co-op,583 Battery St Unit 3003N,Seattle,WA,98121,1888000,2,2.0,Belltown,1476,,2015,4,1279,1012,Active,May-8-2018 12:00 PM,May-8-2018 02:00 PM,http://www.redfin.com/WA/Seattle/583-Battery-St-98121/unit-3003N/home/113201980,NWMLS,1285060,N,Y,47.6170463,-122.3437282
MLS Listing,,Single Family Residential,16046 Military Rd S,SeaTac,WA,98188,449950,5,2.0,McMicken Heights,1840,15588,1941,4,245,,Active,,,http://www.redfin.com/WA/SeaTac/16046-Military-Rd-S-98188/home/342445,NWMLS,1285486,N,Y,47.4585792,-122.2840469
MLS Listing,,Single Family Residential,6133 NE 187th St,Kenmore,WA,98028,639900,3,1.75,Kenmore,1660,8301,1955,4,385,,Active,,,http://www.redfin.com/WA/Kenmore/6133-NE-187th-St-98028/home/95228,NWMLS,1283082,N,Y,47.7647176,-122.2629713
MLS Listing,,Single Family Residential,4103 Fremont Ave N,Seattle,WA,98103,999000,3,1.0,Fremont,1890,4000,1919,4,529,,Active,,,http://www.redfin.com/WA/Seattle/4103-Fremont-Ave-N-98103/home/303863,NWMLS,1284042,N,Y,47.6568249,-122.3502768
MLS Listing,,Single Family Residential,4620 S 122nd St,Tukwila,WA,98178,349950,3,1.0,Allentown,1050,7260,1948,4,333,,Active,,,http://www.redfin.com/WA/Tukwila/4620-S-122nd-St-98178/home/188245,NWMLS,1284684,N,Y,47.4944555,-122.2753134
MLS Listing,,Single Family Residential,6068 4th Ave NE,Seattle,WA,98115,875000,4,2.5,Green Lake,1700,6000,1990,4,515,,Active,,,http://www.redfin.com/WA/Seattle/6068-4th-Ave-NE-98115/home/304890,NWMLS,1283376,N,Y,47.6742013,-122.3241082
MLS Listing,,Single Family Residential,11232 NE 141st Place,Kirkland,WA,98034,694900,3,2.25,Kirkland,1890,6100,1977,4,368,,Active,,,http://www.redfin.com/WA/Kirkland/11232-NE-141st-Pl-98034/home/456774,NWMLS,1284066,N,Y,47.7292861,-122.191068
MLS Listing,,Townhouse,4264 213th Place SE #11,Issaquah,WA,98029,674995,3,2.25,East Lake Sammamish,1832,,2015,4,368,278,Active,,,http://www.redfin.com/WA/Issaquah/4264-213th-Pl-SE-98029/unit-11/home/144392789,NWMLS,1285467,N,Y,47.5691402,-122.0554114
